Major,Major_Code
b.sc computer technology,cs
b.tech - cse,cs
b.tech - it,cs
b.tech ( it),cs
b.tech (computer science),cs
b.tech (cse),cs
b.tech- bioinformatics,cs
b.tech computer engineering,cs
b.tech computer science,cs
b.tech computers,cs
b.tech cse,cs
b.tech i.t,cs
b.tech ict,cs
b.tech in computer science,cs
b.tech in cse,cs
b.tech in information technology,cs
b.tech information technology,cs
b.tech it,cs
b.tech(cs),cs
b.tech(it),cs
"b.tech, information technology",cs
b.tech. computers,cs
b.tech. information technology,cs
b.tech/ it,cs
b.tech/i.t,cs
b.tech-information technology,cs
b>e computer science,cs
bachelor of computer engineering,cs
bachelor of engineering in computer,cs
bachelor of engineering in information technology,cs
bachelors of engineering computer scinece,cs
be (computer science),cs
be comps,cs
be computer,cs
be computer engg,cs
be computer science,cs
be computer science and engineering,cs
be computer science engineering,cs
be computers,cs
be cs,cs
be cse,cs
be in it,cs
be information science,cs
be information technology,cs
be it,cs
be(comp),cs
be(computer science),cs
be(cs),cs
be.cse,cs
be-computer engineering,cs
be-computer science,cs
be-i.t.,cs
be-information technology,cs
bilogical science and computer science,cs
bio informatics,cs
bsc (it),cs
bsc computer science,cs
bsc in computer scineces,cs
bsc it,cs
bsc-it,cs
btech (cse),cs
b-tech -computer science,cs
btech computer science,cs
btech cse,cs
btech it,cs
b-tech(cs&e),cs
btech(cse),cs
"btech,cse",cs
"b-tech,it",cs
btech/cse,cs
btech-cse,cs
btech-i.t,cs
c omputer science and engineering,cs
c s,cs
c sc,cs
c.e,cs
c.s,cs
c.s.,cs
c.s.e,cs
c.s.e.,cs
c.tech,cs
cbe,cs
cce,cs
ce,cs
cee,cs
cmputer engineering,cs
cmputer science,cs
cognitive neuroscience,cs
cognitive science,cs
communication & comp eng.,cs
communication & computer engg.,cs
communication & computer engineering,cs
communication and computer engg,cs
communication and computer engg.,cs
communication and computer engineering,cs
como sc,cs
comoputer,cs
comp,cs
comp ,cs
comp & it,cs
comp and it,cs
comp eng,cs
comp engg,cs
comp engg.,cs
comp engineering,cs
comp engr,cs
comp sc,cs
comp sc.,cs
comp sc. & engg,cs
comp sci,cs
comp sci and engg,cs
comp sci.,cs
comp science,cs
comp science & engg,cs
comp science & engg.,cs
comp science and engineering,cs
comp science dept,cs
comp science engg,cs
comp science/comp networks/comp engg,cs
comp. eng,cs
comp. engg,cs
comp. engg.,cs
comp. engineering,cs
comp. sc.,cs
comp. sc. & eng.,cs
comp. sci,cs
comp. sci.,cs
comp. science,cs
comp. science and engineering,cs
comp. tech.,cs
comp.sc,cs
comp.tech,cs
compengg,cs
competer science engineering,cs
compiter science and engineering,cs
compputer science,cs
compruter science,cs
comps,cs
compsci & maths,cs
compter,cs
compter engineering,cs
compter science,cs
compter science and engg,cs
comptuer science,cs
compuer engg.,cs
compuer science,cs
compuer science ,cs
compuer science and engineering,cs
compuiter science,cs
compurter engineering,cs
computational engineering,cs
computational science,cs
computational science and engineering,cs
compute science,cs
computer,cs
computer ,cs
computer  engineering,cs
computer  science,cs
computer & i.t,cs
computer & it department,cs
computer & it engg.,cs
computer aided conception and production in mecha,cs
computer and communication engineering,cs
computer and i.t,cs
computer and information science,cs
computer and information technology,cs
computer and information tehnology,cs
computer and it,cs
computer ans science,cs
computer application,cs
computer applications,cs
computer applicaton,cs
computer ccience,cs
computer department,cs
computer department:,cs
computer dept,cs
computer dept.,cs
computer egineering,cs
computer emgineering,cs
computer eng,cs
computer engeering,cs
computer engeneering,cs
computer engg,cs
computer engg ,cs
computer engg and it,cs
computer engg dept,cs
computer engg.,cs
computer engg..,cs
computer enggineering,cs
computer engineeering,cs
computer engineeing,cs
computer engineer,cs
computer engineering,cs
computer engineering ,cs
computer engineering & information technology,cs
computer engineering & it,cs
computer engineering (around 3.5gpa),cs
computer engineering / computer networking / computer science,cs
computer engineering / electrical computer engineering,cs
computer engineering and informatics,cs
computer engineering department,cs
computer engineering department:,cs
computer engineering dept,cs
computer engineering&science,cs
"computer engineering, vlsi cad",cs
computer engineering/comp science,cs
computer engineerinmg,cs
computer engineernig,cs
computer engineerring,cs
computer enginerering,cs
computer enginering,cs
computer enginnering,cs
computer engnineering,cs
computer eng谋neer谋ng,cs
computer enigneering,cs
computer forensics,cs
computer graphics and game technology,cs
computer information systems,cs
computer laboratory,cs
computer networking,cs
computer networks,cs
computer program:ming,cs
computer programming,cs
computer sc,cs
computer sc & engg,cs
computer sc & engineering,cs
computer sc and engg,cs
computer sc engg,cs
computer sc.,cs
computer sc. & engg,cs
computer sc. & engg.,cs
computer sc. & engineering,cs
computer sc. and engg.,cs
computer sc. engg.,cs
computer sceience and engineering,cs
computer sceince,cs
computer sceince & engg.,cs
computer sceince department,cs
computer sceince department:,cs
computer scence,cs
computer sci and engg,cs
computer sci.,cs
computer sciece,cs
computer sciece & engineering,cs
computer sciece and engineering,cs
computer sciecne,cs
computer scienc and engineering,cs
computer sciencd,cs
computer science,cs
computer science ,cs
computer science  engineering,cs
computer science & eng.,cs
computer science & engg,cs
computer science & engg.,cs
computer science & enggineering,cs
computer science & engineeering,cs
computer science & engineering,cs
computer science & engineering college,cs
computer science & engineering.,cs
computer science & information engineering,cs
computer science & information systems,cs
computer science & information technology,cs
computer science & math,cs
computer science & systems engineering,cs
computer science & tech,cs
computer science & technology,cs
computer science &engineering,cs
computer science (b.tech),cs
computer science (information technology),cs
computer science (m.c.a),cs
computer science / mis,cs
computer science an engineering,cs
computer science and  engineering,cs
computer science and egnieering,cs
computer science and electrical engineering,cs
computer science and electronics ,cs
computer science and eng,cs
computer science and engg,cs
"computer science and engg,",cs
computer science and engg.,cs
computer science and enggineering,cs
computer science and engieneering,cs
computer science and engineeering,cs
computer science and engineerig,cs
computer science and engineering,cs
computer science and engineering ,cs
computer science and engineering department,cs
computer science and engineering department:,cs
computer science and engineering.,cs
computer science and enginering,cs
computer science and enginering.,cs
computer science and enginerring,cs
computer science and enginnering,cs
computer science and engneering,cs
computer science and enigneering,cs
computer science and enigneering ,cs
computer science and infgormation technology,cs
computer science and information engineering,cs
computer science and information systems,cs
computer science and information technology,cs
computer science and it,cs
computer science and mathematics,cs
computer science and systems engineering,cs
computer science and technology,cs
computer science andengineering,cs
computer science department,cs
computer science department:,cs
computer science dept.,cs
computer science dual degree,cs
computer science egineering,cs
computer science eng,cs
computer science engg,cs
computer science engg.,cs
computer science enggineering,cs
computer science engineering,cs
computer science engineering ,cs
computer science of engineering,cs
computer science(b.e) & bio (msc),cs
computer science(it),cs
"computer science, it",cs
"computer science, mathematics, statistics",cs
computer science/ electronics and communication,cs
computer science/ mgmt,cs
computer science/linguistics,cs
computer sciences,cs
computer sciences and engineering,cs
computer sciences engineering,cs
computer sciene,cs
computer sciene and engineering,cs
computer scienec,cs
computer sciense,cs
computer sciense and engineering,cs
computer scince,cs
computer scinece,cs
computer scinece & engg,cs
computer scinece and engineering,cs
computer scuence engineering,cs
computer sicence,cs
computer sicence and engineering,cs
computer sience,cs
computer systems engineering,cs
computer tech,cs
computer tech & applications,cs
computer tech.,cs
computer technology,cs
computer technology and applications,cs
computer vision/image-video processing,cs
computerengineering,cs
computers,cs
computers ,cs
computers & communication,cs
computers & information systems engineering,cs
computers and it,cs
computers and science,cs
computers cience,cs
computers engineering,cs
computers science,cs
computers sciences,cs
computerscience,cs
computerscience ,cs
computerscience & engineering,cs
computerscience and engineering,cs
computerscience engineering,cs
computescience,cs
computing,cs
computing science,cs
computr science,cs
computrer science,cs
computrer science and engineering,cs
comupter science engineering,cs
comuter science,cs
comuter science and engineering,cs
comuter science engineering,cs
comuter science/it,cs
conmputer science,cs
conputer science,cs
construction management,cs
coomputer science,cs
coputer,cs
coputer & communication engineering,cs
coputer science,cs
coumputer science,cs
cs,cs
cs & e,cs
cs and e,cs
cs and physics,cs
cs&e,cs
cs&se,cs
"cs, ee",cs
cs/ ee,cs
cs/it,cs
cs/se,cs
csc,cs
cse,cs
cse ,cs
cse(computer science),cs
cse/it,cs
csis,cs
csit,cs
ct,cs
cyber security,cs
cybersecurity,cs
data mining,cs
data science,cs
databases and information systems,cs
department of computer engineering,cs
department of computer science,cs
department of computer science and egineering,cs
department of computer science and engineering,cs
department of computer science and ict,cs
department of information science and technology,cs
department of information technology,cs
department: of computer engineering,cs
department: of computer science,cs
department: of computer science and egineering,cs
department: of computer science and engineering,cs
department: of information technology,cs
dept of computer science,cs
dept of computer science and engineering,cs
dept of cs,cs
dept. of computer,cs
dept. of computer engineering,cs
engineering computer,cs
engineering it,cs
engineering(i.t),cs
engineering(information technology),cs
hci / cs,cs
human computer interaction,cs
i t,cs
i. t,cs
i.t,cs
i.t.,cs
i.t-59%,cs
ic,cs
ice,cs
ict,cs
ict - information and communication technology,cs
ict ( information and communication technology),cs
ict (information and communication technology),cs
ict (information communication technology),cs
inf,cs
inf tech,cs
info and comm technology (ict),cs
info tech,cs
infomation technology,cs
inforamation technology,cs
inforamtion technology,cs
inforamtion technology ,cs
informaiton technology,cs
informataion technology,cs
informatics,cs
informatin technology,cs
informatio technology,cs
information,cs
information  technology,cs
information & comm. tech,cs
information & comm. technology,cs
information & communication technology,cs
information & communications technology,cs
information & technology,cs
information &communication tech.,cs
information and communcation technology,cs
information and communiation technology,cs
information and communication tech.,cs
information and communication technolgy,cs
information and communication technology,cs
information and communication technology (ict),cs
information and communication technology(ict),cs
information and communication technology(only one branch in college),cs
information and communication tehnology,cs
information and communication university,cs
information and comunication tech,cs
information and technology,cs
information tchnology,cs
information tecchnology,cs
information tecdhnology,cs
information tecgnology,cs
information tech,cs
information tech.,cs
information technlogy,cs
information techno0logy,cs
information technolgy,cs
information technolog,cs
information technologey,cs
information technologgy,cs
information technologu,cs
information technology,cs
information technology ,cs
information technology (i.t.),cs
information technology (it),cs
information technology department,cs
information technology department:,cs
information technology(b.e. i.t),cs
information technology(i.t),cs
information technology(it),cs
information technology.,cs
information technology/ cs,cs
information technology/ cs ,cs
information technolohgy,cs
information technoloy,cs
information technoogy,cs
information techology,cs
information techonology,cs
information techonoly,cs
information tecnology,cs
information teechnology,cs
information tehcnology,cs
information tehnology,cs
information tscience,cs
informational technology,cs
informationm technology,cs
informationscience,cs
informationtechnology,cs
informaton technology,cs
informtion science & engineering,cs
informtion technology,cs
infornation science and technology,cs
infortmation technology,cs
infosmation science & engineering,cs
infotech,cs
infromation technology,cs
inft,cs
inofrmation systems,cs
inofrmation technology,cs
inormation technology,cs
institute of computational linguistics,cs
it,cs
it ,cs
it+communications,cs
it84,cs
m.sc. mathematics and b.e. computer science,cs
m.tech (computer science),cs
m.tech (cs),cs
m.tech in cs,cs
management information systems / computer science,cs
master of computer application,cs
master of computer applications,cs
master of science in information technology,cs
masters in computer applications,cs
masters of computer applications,cs
masters of engg i.t.,cs
mtech(it),cs
networking,cs
nformation technology,cs
school in information technology and engineering,cs
school of computational and systems biology,cs
school of computer science & engineering,cs
school of computing,cs
school of computing science and engineering,cs
school of information and communication engineering,cs
school of information technology,cs
schools of it and engineering,cs
"scop, comp",cs
scs,cs
se,cs
seeecs,cs
sice,cs
software eng,cs
software engineering,cs
software institute,cs
software systems,cs
"theoretical computer science, (department of mathematics and computer applications)",cs
university institute of information technology,cs
wireless communications,cs
wirless sensor networks,cs
b.tech electronics,e
"applied physics, electronics and communication engineering",ee
b.e e.c.e,ee
b.e electronics,ee
b.e(eee),ee
b.e(hons) electronics and communication,ee
b.e. eee,ee
b.e. eee & msc. economics ,ee
b.e. electrical and electronics engineering,ee
b.e.(hons.)eee,ee
b.tech (electronics and communication),ee
b.tech ece,ee
b.tech eee,ee
b.tech electronics and communication,ee
b.tech extc,ee
be (ece),ee
be eee,ee
be- eee,ee
be electronics and communication,ee
be extc,ee
be in electronics,ee
be_electronics_telecomm,ee
be-eee,ee
be-electronics and communication,ee
bs-eet,ee
btech ece,ee
btech-eee,ee
communication and design,ee
communication design,ee
communication engineering,ee
communications,ee
communications ,ee
communications and computer engneering,ee
deepartment of electronics & computer wngineering,ee
departmemt of electrical engineering,ee
department of eee,ee
department of electrical engineereing,ee
department of electrical engineering,ee
department of electronic science,ee
department of electronics,ee
department of electronics and computer,ee
department of electronics and computer engineering,ee
department of electronics and instrumentation,ee
department: of electrical engineereing,ee
department: of electrical engineering,ee
department: of electronic science,ee
department: of electronics and computer,ee
department: of electronics and computer engineering,ee
department: of electronics and instrumentation,ee
dept. of ece,ee
dept. of ee,ee
dept. of electronic sciences,ee
dept. of electronics & communication eng.,ee
diploma electrical engineering,ee
division of electorinics,ee
division of electronics,ee
e,ee
e & c,ee
e & e,ee
e & i,ee
e & t c,ee
e & tc,ee
e and c,ee
e and tc,ee
e c e,ee
e e e,ee
e n c,ee
e n c e,ee
e& tc,ee
e&c,ee
e&ce,ee
e&e,ee
e&ec,ee
e&ece,ee
e&ee,ee
e&i,ee
e&t.c,ee
e&tc,ee
e.c,ee
e.c.,ee
e.c.e,ee
e.c.e.,ee
e.e,ee
e.e.e,ee
e.e.e.,ee
e.i.e,ee
e;ectronics and comunication,ee
ec,ee
ec engg,ee
ec&e,ee
ece,ee
ece ,ee
ece & ei,ee
ece & ei  ,ee
ece (electronics and communication engg),ee
ece(electronics & communication),ee
ece(electronics and comm. engg.,ee
ece(mtech),ee
ece+mech,ee
ect,ee
ee,ee
ee ,ee
ee / ce / cs,ee
ee / cs,ee
eec,ee
eece,ee
eecs,ee
eee,ee
eee ,ee
eee (electrical and electronics engineering),ee
eee (sandwich),ee
eee (sw),ee
"eee , chemistry",ee
eee and physics,ee
eee dept.,ee
eee physics,ee
"eee, physics",ee
"eee,wes gpa : 3.9/4.0",ee
eee/physics,ee
eelectrical and electronics,ee
eelectrical engineering,ee
eelectronics,ee
eet,ee
ei,ee
eic,ee
eie,ee
eie(elec & instrumentation),ee
eied,ee
ekectrical and electronics,ee
el,ee
elcectrical,ee
elcectronics and communication,ee
elcetrical engineering,ee
elcetronics,ee
elcetronics and communication,ee
elcetronics and communication engineering,ee
elcetronics and instrumentation,ee
elcetronics and telecommunication,ee
elctrical and elctronic engineering,ee
elctrical and electronics engineering,ee
elctrical engineering,ee
elctronic and communication,ee
elctronics & communication,ee
elctronics and communiation engineering,ee
elctronics and communication,ee
ele,ee
ele. & telecom engg.,ee
eleactronics and communication,ee
elec,ee
elec &  telecom,ee
elec & comm,ee
elec & telecomm,ee
elec and comm,ee
elec and tele,ee
elec and telec,ee
elec and telecom,ee
elec and telecomm,ee
elec.,ee
elec. & comm.,ee
elec. & telcom.,ee
elec. & telecomm.,ee
elec. and comm. engg.,ee
elec. and communication,ee
elec. and telecomm,ee
elec. and telecomm.,ee
elec. and telecommunications,ee
elec. n comm.,ee
elecctronics & telecommunication,ee
elecctronics and communication,ee
elecetronics & communication engineering,ee
elecetronics and communications,ee
elecltronics & telecommunication,ee
elecrical & electronics engineering,ee
elecrical and electronics engineering,ee
elecrical engineering,ee
elecronics and communication,ee
elecronics and communication engineering,ee
elecronics and telecommunication,ee
elecronics and telecommunication department:,ee
elecrtical and electronics engineering,ee
elecrtical engineering,ee
elecrtonocs,ee
elect & comm,ee
elect & communication,ee
elect & comput science,ee
elect.and telecom,ee
elect/ elect engineering,ee
electeical and electronics,ee
electical and electronics,ee
electical and electronics engineering,ee
electical engg,ee
electical engineering,ee
electircal,ee
electonics,ee
electonics & communication,ee
electonics and commnication,ee
electonics and communication,ee
electonics and communication engineering,ee
electonics and communicationi,ee
electonics and communications,ee
electonics and electrical engineering,ee
electonics and telecommunication,ee
electonics and telecommunications,ee
electonics and telecomunication,ee
electonics engineering,ee
electonrics and communication,ee
electornics and instrumentation,ee
electrcial and electronics engg,ee
electrial engg.,ee
electric and electronics engineering,ee
electrical,ee
electrical ,ee
electrical  engineering,ee
electrical % electronics engineering,ee
electrical & comm engg,ee
electrical & computer engg/mis/industrial/systems engg,ee
electrical & computer engineering,ee
electrical & elctronics,ee
electrical & electronic,ee
electrical & electronic eng.,ee
electrical & electronic engineering,ee
electrical & electronic engineering.,ee
electrical & electronics,ee
electrical & electronics  engg,ee
electrical & electronics (eee),ee
electrical & electronics dept.,ee
electrical & electronics engg,ee
electrical & electronics engg.,ee
electrical & electronics engg. s,ee
electrical & electronics engineering,ee
electrical &electronics,ee
electrical &electronics engineering,ee
electrical &instrumenattion engineering,ee
electrical (ec & power),ee
electrical (electronics & telecomm),ee
electrical (power),ee
electrical ad electronics,ee
electrical ad electronics engineering,ee
electrical amd electronics,ee
electrical and communication,ee
electrical and communication department,ee
electrical and communication department:,ee
electrical and communication engineering,ee
electrical and communication systems,ee
electrical and communications engineering,ee
electrical and computer engineering,ee
"electrical and computer engineering, electrical engineering, telecommunications engineering",ee
electrical and computer science,ee
electrical and ekectronics,ee
electrical and elctronics,ee
electrical and elctronics department,ee
electrical and elecronics,ee
electrical and elecrtonics engineering,ee
electrical and electonics,ee
electrical and electronic,ee
electrical and electronic department,ee
electrical and electronic department:,ee
electrical and electronic engineering,ee
electrical and electronic enginnering,ee
electrical and electronical engineering,ee
electrical and electronical engneering,ee
electrical and electronice,ee
electrical and electronics,ee
electrical and electronics ,ee
electrical and electronics department,ee
electrical and electronics department:,ee
electrical and electronics dept,ee
electrical and electronics engg,ee
electrical and electronics engg.,ee
electrical and electronics engineeriing,ee
electrical and electronics engineering,ee
electrical and electronics engineering ,ee
electrical and electronics enginering,ee
electrical and electronics enginnering,ee
electrical and electronics engneering,ee
electrical and electronics enigneering,ee
electrical and electronics ngineering,ee
electrical and electronics of engineering,ee
electrical and electronics(eee),ee
electrical and electronics/ information technology,ee
electrical and electronis,ee
electrical and electtronics,ee
electrical and instrumentation engg. department,ee
electrical and instumentation engineering,ee
electrical and power,ee
electrical and power management,ee
electrical department,ee
electrical department:,ee
electrical department: ,ee
electrical dept,ee
electrical e,ee
electrical electronic and communication,ee
electrical electronics,ee
electrical electronics and power,ee
electrical electronics engineering,ee
electrical enfineering,ee
electrical eng,ee
electrical engg,ee
electrical engg ,ee
electrical engg / financial analysis,ee
electrical engg.,ee
electrical engg. ,ee
electrical engg/ comp engg,ee
electrical engg/mech engg,ee
electrical engieering,ee
electrical engiineering,ee
electrical engineer,ee
electrical engineerin,ee
electrical engineering,ee
electrical engineering ,ee
electrical engineering & information technology,ee
electrical engineering (dual degree),ee
electrical engineering and computer science,ee
electrical engineering and computer science.,ee
electrical engineering department,ee
electrical engineering technology,ee
"electrical engineering, physics",ee
"electrical engineering, pune",ee
electrical engineerinh,ee
electrical engineeting,ee
electrical enginering,ee
electrical enginnering,ee
electrical enigineering,ee
electrical nad electronics engineering,ee
electrical or material science engg. ( depends on university classification of specialization in which group),ee
electrical or material science engg. ( depends on university classification of specialization in which group) ,ee
electrical& electronics,ee
electrical&electronic engineering,ee
electrical&electronics,ee
electrical&electronics engineering,ee
"electrical, electronics & power",ee
"electrical, electronics and communicationengineering",ee
"electrical, electronics and instrumentation",ee
"electrical, electronics and power",ee
"electrical, electronics and power engineering",ee
electrical/ art & technology,ee
electrical/electronic engineering,ee
electricaland electronics,ee
electrical-electronics engineering,ee
electricals,ee
electricals & electronics,ee
electricals & electronics engineering,ee
electricals and elecctronics,ee
electricals and electronics,ee
electricals and electronics engineering,ee
electricals and electronics enigineering,ee
electricals engineering,ee
